	time (s)     A(t) 		SEM 10 traj
   3.6600000e-03   3.6100000e+02   4.2031734e+00
   3.6800000e-03   3.6030000e+02   4.0498285e+00
   3.7000000e-03   3.5920000e+02   3.7912179e+00
   3.7200000e-03   3.5740000e+02   3.9078269e+00
   3.7400000e-03   3.5710000e+02   4.0755368e+00
   3.7600000e-03   3.5620000e+02   4.0049969e+00
   3.7800000e-03   3.5540000e+02   3.9586754e+00
   3.8000000e-03   3.5460000e+02   3.9106692e+00
   3.8200000e-03   3.5370000e+02   3.8385472e+00
   3.8400000e-03   3.5350000e+02   3.7749172e+00
   3.8600000e-03   3.5270000e+02   3.9300834e+00
   3.8800000e-03   3.5150000e+02   3.8506854e+00
   3.9000000e-03   3.5020000e+02   3.9208843e+00
   3.9200000e-03   3.4920000e+02   3.8666667e+00
   3.9400000e-03   3.4820000e+02   4.0326446e+00
   3.9600000e-03   3.4710000e+02   4.1884763e+00
   3.9800000e-03   3.4580000e+02   4.1225666e+00
   4.0000000e-03   3.4540000e+02   3.9838563e+00
   4.0200000e-03   3.4420000e+02   4.0546270e+00
   4.0400000e-03   3.4380000e+02   4.0764909e+00
   4.0600000e-03   3.4270000e+02   3.9300834e+00
   4.0800000e-03   3.4190000e+02   3.9705863e+00
   4.1000000e-03   3.4040000e+02   3.8273867e+00
   4.1200000e-03   3.3950000e+02   3.7631252e+00
   4.1400000e-03   3.3830000e+02   3.7149847e+00
   4.1600000e-03   3.3770000e+02   3.8385472e+00
   4.1800000e-03   3.3660000e+02   3.8302886e+00
   4.2000000e-03   3.3600000e+02   3.6270588e+00
   4.2200000e-03   3.3460000e+02   3.2836294e+00
   4.2400000e-03   3.3450000e+02   3.0267327e+00
   4.2600000e-03   3.3370000e+02   2.8984670e+00
   4.2800000e-03   3.3330000e+02   2.8246927e+00
   4.3000000e-03   3.3240000e+02   2.8526791e+00
   4.3200000e-03   3.3180000e+02   2.7840817e+00
   4.3400000e-03   3.3170000e+02   2.9853345e+00
   4.3600000e-03   3.3150000e+02   2.9860788e+00
   4.3800000e-03   3.3130000e+02   3.0333333e+00
   4.4000000e-03   3.2990000e+02   3.0384572e+00
   4.4200000e-03   3.2890000e+02   2.8961660e+00
   4.4400000e-03   3.2840000e+02   2.8174062e+00
   4.4600000e-03   3.2800000e+02   2.9664794e+00
   4.4800000e-03   3.2780000e+02   2.9619813e+00
   4.5000000e-03   3.2730000e+02   3.0296681e+00
   4.5200000e-03   3.2680000e+02   2.6616620e+00
   4.5400000e-03   3.2560000e+02   2.5263060e+00
   4.5600000e-03   3.2510000e+02   2.4695929e+00
   4.5800000e-03   3.2500000e+02   2.2558566e+00
   4.6000000e-03   3.2520000e+02   1.7751369e+00
   4.6200000e-03   3.2490000e+02   1.8040079e+00
   4.6400000e-03   3.2490000e+02   1.6960739e+00
   4.6600000e-03   3.2460000e+02   1.8985374e+00
   4.6800000e-03   3.2360000e+02   2.0504742e+00
   4.7000000e-03   3.2290000e+02   1.9913703e+00
   4.7200000e-03   3.2320000e+02   2.2939534e+00
   4.7400000e-03   3.2200000e+02   2.4630604e+00
   4.7600000e-03   3.2230000e+02   2.3525400e+00
   4.7800000e-03   3.2220000e+02   2.5377155e+00
   4.8000000e-03   3.2160000e+02   2.8448784e+00
   4.8200000e-03   3.2090000e+02   3.0090604e+00
   4.8400000e-03   3.2030000e+02   2.9554094e+00
   4.8600000e-03   3.1960000e+02   3.1169786e+00
   4.8800000e-03   3.1940000e+02   3.1134118e+00
   4.9000000e-03   3.1890000e+02   2.9681644e+00
   4.9200000e-03   3.1810000e+02   3.2504701e+00
   4.9400000e-03   3.1740000e+02   3.5030146e+00
   4.9600000e-03   3.1740000e+02   3.2359096e+00
   4.9800000e-03   3.1720000e+02   3.0066593e+00
   5.0000000e-03   3.1590000e+02   3.1638584e+00
   5.0200000e-03   3.1490000e+02   3.2709156e+00
   5.0400000e-03   3.1440000e+02   3.2903900e+00
   5.0600000e-03   3.1430000e+02   3.1128765e+00
   5.0800000e-03   3.1380000e+02   3.4538224e+00
   5.1000000e-03   3.1280000e+02   3.3492951e+00
   5.1200000e-03   3.1190000e+02   3.4300956e+00
   5.1400000e-03   3.1180000e+02   3.5333333e+00
   5.1600000e-03   3.1150000e+02   3.4197141e+00
   5.1800000e-03   3.1090000e+02   3.3114280e+00
   5.2000000e-03   3.1060000e+02   3.6092474e+00
   5.2200000e-03   3.1040000e+02   3.7034518e+00
   5.2400000e-03   3.0900000e+02   3.6453928e+00
   5.2600000e-03   3.0750000e+02   3.5815887e+00
   5.2800000e-03   3.0670000e+02   3.7919505e+00
   5.3000000e-03   3.0640000e+02   3.7688784e+00
   5.3200000e-03   3.0610000e+02   3.8454880e+00
   5.3400000e-03   3.0540000e+02   3.9389790e+00
   5.3600000e-03   3.0530000e+02   3.8903013e+00
   5.3800000e-03   3.0470000e+02   4.0250604e+00
   5.4000000e-03   3.0410000e+02   3.9593771e+00
   5.4200000e-03   3.0420000e+02   3.8058435e+00
   5.4400000e-03   3.0350000e+02   3.9391200e+00
   5.4600000e-03   3.0230000e+02   3.8414407e+00
   5.4800000e-03   3.0190000e+02   3.7042018e+00
   5.5000000e-03   3.0140000e+02   3.7570674e+00
   5.5200000e-03   3.0090000e+02   3.7843244e+00
   5.5400000e-03   3.0100000e+02   3.7297602e+00
   5.5600000e-03   3.0040000e+02   3.6854067e+00
   5.5800000e-03   2.9940000e+02   3.4357597e+00
   5.6000000e-03   2.9890000e+02   3.4106044e+00
   5.6200000e-03   2.9940000e+02   3.6276714e+00
   5.6400000e-03   2.9930000e+02   3.9215926e+00
   5.6600000e-03   2.9820000e+02   4.0243702e+00
   5.6800000e-03   2.9730000e+02   4.3051649e+00
   5.7000000e-03   2.9730000e+02   4.2610640e+00
   5.7200000e-03   2.9660000e+02   4.3055520e+00
   5.7400000e-03   2.9670000e+02   4.5681263e+00
   5.7600000e-03   2.9660000e+02   4.4875135e+00
   5.7800000e-03   2.9720000e+02   4.4417214e+00
   5.8000000e-03   2.9680000e+02   4.3276886e+00
   5.8200000e-03   2.9530000e+02   4.0934908e+00
   5.8400000e-03   2.9540000e+02   4.3543082e+00
   5.8600000e-03   2.9470000e+02   4.4122305e+00
   5.8800000e-03   2.9510000e+02   4.3676844e+00
   5.9000000e-03   2.9480000e+02   4.1734611e+00
   5.9200000e-03   2.9500000e+02   4.1739936e+00
   5.9400000e-03   2.9460000e+02   4.0830272e+00
   5.9600000e-03   2.9380000e+02   4.1601282e+00
   5.9800000e-03   2.9300000e+02   4.3101946e+00
   6.0000000e-03   2.9300000e+02   4.3537978e+00
   6.0200000e-03   2.9240000e+02   4.3517557e+00
   6.0400000e-03   2.9150000e+02   4.2772005e+00
   6.0600000e-03   2.9100000e+02   4.2110965e+00
   6.0800000e-03   2.9020000e+02   4.2237424e+00
   6.1000000e-03   2.8980000e+02   4.4492197e+00
   6.1200000e-03   2.8950000e+02   4.3005168e+00
   6.1400000e-03   2.8950000e+02   4.4876373e+00
   6.1600000e-03   2.8900000e+02   4.4820630e+00
   6.1800000e-03   2.8790000e+02   4.3778483e+00
   6.2000000e-03   2.8790000e+02   4.3447286e+00
   6.2200000e-03   2.8780000e+02   4.3096790e+00
   6.2400000e-03   2.8700000e+02   4.0933550e+00
   6.2600000e-03   2.8700000e+02   4.2739521e+00
   6.2800000e-03   2.8600000e+02   4.0987803e+00
   6.3000000e-03   2.8530000e+02   4.1232404e+00
   6.3200000e-03   2.8580000e+02   3.9994444e+00
   6.3400000e-03   2.8460000e+02   3.9838563e+00
   6.3600000e-03   2.8490000e+02   3.8339130e+00
   6.3800000e-03   2.8440000e+02   3.7333333e+00
   6.4000000e-03   2.8450000e+02   3.7245432e+00
   6.4200000e-03   2.8430000e+02   3.7684362e+00
   6.4400000e-03   2.8510000e+02   3.7960506e+00
