iter: 0
1053	A: 1. 
iter: 396
1	Phos: 1. 
1057	A: 1. 
iter: 398
1	Phos: 1. 
1062	A: 1. 
iter: 400
1	Phos: 1. 
1068	A: 1. 
iter: 402
1	Phos: 1. 
1076	A: 1. 
iter: 404
1	Phos: 1. 
1082	A: 1. 
iter: 406
1	Phos: 1. 
1085	A: 1. 
iter: 408
1	Phos: 1. 
1086	A: 1. 
iter: 410
1	Phos: 1. 
1092	A: 1. 
iter: 412
1	Phos: 1. 
1101	A: 1. 
iter: 414
1	Phos: 1. 
1104	A: 1. 
iter: 416
1	Phos: 1. 
1105	A: 1. 
iter: 418
1	Phos: 1. 
1112	A: 1. 
iter: 420
1	Phos: 1. 
1117	A: 1. 
iter: 422
1	Phos: 1. 
1122	A: 1. 
iter: 424
1	Phos: 1. 
1130	A: 1. 
iter: 426
1	Phos: 1. 
1136	A: 1. 
iter: 428
1	Phos: 1. 
1144	A: 1. 
iter: 430
1	Phos: 1. 
1156	A: 1. 
iter: 432
1	Phos: 1. 
1165	A: 1. 
iter: 434
1	Phos: 1. 
1170	A: 1. 
iter: 436
1	Phos: 1. 
1174	A: 1. 
iter: 438
1	Phos: 1. 
1180	A: 1. 
iter: 440
1	Phos: 1. 
1185	A: 1. 
iter: 442
1	Phos: 1. 
1186	A: 1. 
iter: 444
1	Phos: 1. 
1189	A: 1. 
iter: 446
1	Phos: 1. 
1192	A: 1. 
iter: 448
1	Phos: 1. 
1196	A: 1. 
iter: 450
1	Phos: 1. 
1202	A: 1. 
iter: 452
1	Phos: 1. 
1205	A: 1. 
iter: 454
1	Phos: 1. 
1219	A: 1. 
iter: 456
1	Phos: 1. 
1225	A: 1. 
iter: 458
1	Phos: 1. 
1232	A: 1. 
iter: 460
1	Phos: 1. 
1240	A: 1. 
iter: 462
1	Phos: 1. 
1250	A: 1. 
iter: 464
1	Phos: 1. 
1252	A: 1. 
iter: 466
1	Phos: 1. 
1258	A: 1. 
iter: 468
1	Phos: 1. 
1265	A: 1. 
iter: 470
1	Phos: 1. 
1274	A: 1. 
iter: 472
1	Phos: 1. 
1279	A: 1. 
iter: 474
1	Phos: 1. 
1279	A: 1. 
iter: 476
1	Phos: 1. 
1286	A: 1. 
iter: 478
1	Phos: 1. 
1293	A: 1. 
iter: 480
1	Phos: 1. 
1302	A: 1. 
iter: 482
1	Phos: 1. 
1306	A: 1. 
iter: 484
1	Phos: 1. 
1310	A: 1. 
iter: 486
1	Phos: 1. 
1317	A: 1. 
iter: 488
1	Phos: 1. 
1318	A: 1. 
iter: 490
1	Phos: 1. 
1329	A: 1. 
iter: 492
1	Phos: 1. 
1336	A: 1. 
iter: 494
1	Phos: 1. 
1339	A: 1. 
iter: 496
1	Phos: 1. 
1344	A: 1. 
iter: 498
1	Phos: 1. 
1350	A: 1. 
iter: 500
1	Phos: 1. 
1359	A: 1. 
iter: 502
1	Phos: 1. 
1364	A: 1. 
iter: 504
1	Phos: 1. 
1366	A: 1. 
iter: 506
1	Phos: 1. 
1370	A: 1. 
iter: 508
1	Phos: 1. 
1376	A: 1. 
iter: 510
1	Phos: 1. 
1381	A: 1. 
iter: 512
1	Phos: 1. 
1386	A: 1. 
iter: 514
1	Phos: 1. 
1391	A: 1. 
iter: 516
1	Phos: 1. 
1393	A: 1. 
iter: 518
1	Phos: 1. 
1396	A: 1. 
iter: 520
1	Phos: 1. 
1397	A: 1. 
iter: 522
1	Phos: 1. 
1403	A: 1. 
iter: 524
1	Phos: 1. 
1407	A: 1. 
iter: 526
1	Phos: 1. 
1417	A: 1. 
iter: 528
1	Phos: 1. 
1426	A: 1. 
iter: 530
1	Phos: 1. 
1431	A: 1. 
iter: 532
1	Phos: 1. 
1437	A: 1. 
iter: 534
1	Phos: 1. 
1439	A: 1. 
iter: 536
1	Phos: 1. 
1445	A: 1. 
iter: 538
1	Phos: 1. 
1450	A: 1. 
iter: 540
1	Phos: 1. 
1461	A: 1. 
iter: 542
1	Phos: 1. 
1470	A: 1. 
iter: 544
1	Phos: 1. 
1474	A: 1. 
iter: 546
1	Phos: 1. 
1479	A: 1. 
