     time (us)      	MABM		AB		AM		BM		A		B		ABM		M
   5.9000000e+03   2.7083333e-01   2.2916667e-01   2.9479167e+01   2.8583333e+01   6.3502083e+02   6.3591667e+02   0.0000000e+00   3.6963958e+03
   6.0000000e+03   2.9166667e-01   2.2916667e-01   2.9645833e+01   2.9000000e+01   6.3483333e+02   6.3547917e+02   0.0000000e+00   3.6957708e+03
   6.1000000e+03   3.3333333e-01   2.2916667e-01   3.0062500e+01   2.9479167e+01   6.3437500e+02   6.3495833e+02   0.0000000e+00   3.6947917e+03
   6.2000000e+03   3.3333333e-01   2.2916667e-01   3.0479167e+01   2.9875000e+01   6.3395833e+02   6.3456250e+02   0.0000000e+00   3.6939792e+03
   6.3000000e+03   3.5416667e-01   2.2916667e-01   3.0854167e+01   3.0187500e+01   6.3356250e+02   6.3422917e+02   0.0000000e+00   3.6932500e+03
   6.4000000e+03   3.5416667e-01   2.2916667e-01   3.1104167e+01   3.0666667e+01   6.3331250e+02   6.3375000e+02   0.0000000e+00   3.6925208e+03
   6.5000000e+03   3.9583333e-01   2.2916667e-01   3.1375000e+01   3.0979167e+01   6.3300000e+02   6.3339583e+02   0.0000000e+00   3.6918542e+03
   6.6000000e+03   3.9583333e-01   2.5000000e-01   3.1750000e+01   3.1291667e+01   6.3260417e+02   6.3306250e+02   0.0000000e+00   3.6911667e+03
   6.7000000e+03   4.1666667e-01   2.5000000e-01   3.2062500e+01   3.1520833e+01   6.3227083e+02   6.3281250e+02   0.0000000e+00   3.6905833e+03
   6.8000000e+03   4.5833333e-01   2.5000000e-01   3.2312500e+01   3.1812500e+01   6.3197917e+02   6.3247917e+02   0.0000000e+00   3.6899583e+03
   6.9000000e+03   4.5833333e-01   2.5000000e-01   3.2729167e+01   3.2270833e+01   6.3156250e+02   6.3202083e+02   0.0000000e+00   3.6890833e+03
   7.0000000e+03   5.2083333e-01   2.5000000e-01   3.3020833e+01   3.2500000e+01   6.3120833e+02   6.3172917e+02   0.0000000e+00   3.6884375e+03
   7.1000000e+03   5.2083333e-01   2.5000000e-01   3.3479167e+01   3.2833333e+01   6.3075000e+02   6.3139583e+02   0.0000000e+00   3.6876458e+03
   7.2000000e+03   5.4166667e-01   2.5000000e-01   3.3812500e+01   3.3104167e+01   6.3039583e+02   6.3110417e+02   0.0000000e+00   3.6870000e+03
   7.3000000e+03   5.6250000e-01   2.5000000e-01   3.4270833e+01   3.3458333e+01   6.2991667e+02   6.3072917e+02   0.0000000e+00   3.6861458e+03
   7.4000000e+03   5.6250000e-01   2.5000000e-01   3.4604167e+01   3.3833333e+01   6.2958333e+02   6.3035417e+02   0.0000000e+00   3.6854375e+03
   7.5000000e+03   6.2500000e-01   2.5000000e-01   3.5083333e+01   3.4083333e+01   6.2904167e+02   6.3004167e+02   0.0000000e+00   3.6845833e+03
   7.6000000e+03   6.8750000e-01   2.5000000e-01   3.5541667e+01   3.4500000e+01   6.2852083e+02   6.2956250e+02   0.0000000e+00   3.6835833e+03
   7.7000000e+03   7.2916667e-01   2.5000000e-01   3.6062500e+01   3.4833333e+01   6.2795833e+02   6.2918750e+02   0.0000000e+00   3.6826458e+03
