	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   3.7251373e-04   9.7976488e+01   9.7976488e+01   3.7510379e+03   2.0244105e+00   2.0244105e+00   6.0880274e-06   6.0880274e-06   1.3079133e-03   9.5256189e-05
   3.8120828e-04   9.7912576e+01   9.7912576e+01   3.7509101e+03   2.0882715e+00   2.0882715e+00   6.3050981e-06   6.3050981e-06   1.3478887e-03   1.0521208e-04
   3.9010576e-04   9.7847220e+01   9.7847220e+01   3.7507795e+03   2.1535764e+00   2.1535764e+00   6.5271426e-06   6.5271426e-06   1.3886857e-03   1.1591281e-04
   3.9921091e-04   9.7780386e+01   9.7780386e+01   3.7506459e+03   2.2203568e+00   2.2203568e+00   6.7542728e-06   6.7542728e-06   1.4303182e-03   1.2739999e-04
   4.0852858e-04   9.7712042e+01   9.7712042e+01   3.7505093e+03   2.2886449e+00   2.2886449e+00   6.9866027e-06   6.9866027e-06   1.4728001e-03   1.3971730e-04
   4.1806372e-04   9.7642157e+01   9.7642157e+01   3.7503696e+03   2.3584734e+00   2.3584734e+00   7.2242490e-06   7.2242490e-06   1.5161456e-03   1.5291067e-04
   4.2782142e-04   9.7570696e+01   9.7570696e+01   3.7502268e+03   2.4298757e+00   2.4298757e+00   7.4673306e-06   7.4673306e-06   1.5603686e-03   1.6702833e-04
   4.3780686e-04   9.7497625e+01   9.7497625e+01   3.7500807e+03   2.5028859e+00   2.5028859e+00   7.7159691e-06   7.7159691e-06   1.6054835e-03   1.8212097e-04
   4.4802537e-04   9.7422909e+01   9.7422909e+01   3.7499314e+03   2.5775387e+00   2.5775387e+00   7.9702889e-06   7.9702889e-06   1.6515043e-03   1.9824183e-04
   4.5848238e-04   9.7346514e+01   9.7346514e+01   3.7497787e+03   2.6538697e+00   2.6538697e+00   8.2304166e-06   8.2304166e-06   1.6984453e-03   2.1544683e-04
   4.6918345e-04   9.7268405e+01   9.7268405e+01   3.7496226e+03   2.7319137e+00   2.7319137e+00   8.4957712e-06   8.4957712e-06   1.7462990e-03   2.3186475e-04
   4.8013429e-04   9.7188545e+01   9.7188545e+01   3.7494629e+03   2.8117082e+00   2.8117082e+00   8.7658498e-06   8.7658498e-06   1.7950863e-03   2.4783518e-04
   4.9134073e-04   9.7106892e+01   9.7106892e+01   3.7492997e+03   2.8932926e+00   2.8932926e+00   9.0413449e-06   9.0413449e-06   1.8448493e-03   2.6581406e-04
   5.0280873e-04   9.7023408e+01   9.7023408e+01   3.7491329e+03   2.9767053e+00   2.9767053e+00   9.3223410e-06   9.3223410e-06   1.8956032e-03   2.8592552e-04
   5.1454439e-04   9.6938053e+01   9.6938053e+01   3.7489623e+03   3.0619854e+00   3.0619854e+00   9.6089227e-06   9.6089227e-06   1.9473631e-03   3.0830021e-04
   5.2655396e-04   9.6850788e+01   9.6850788e+01   3.7487878e+03   3.1491727e+00   3.1491727e+00   9.9011744e-06   9.9011744e-06   2.0001439e-03   3.3307567e-04
   5.3884384e-04   9.6761571e+01   9.6761571e+01   3.7486095e+03   3.2383078e+00   3.2383078e+00   1.0199180e-05   1.0199180e-05   2.0539607e-03   3.6039667e-04
   5.5142057e-04   9.6670361e+01   9.6670361e+01   3.7484272e+03   3.3294321e+00   3.3294321e+00   1.0503024e-05   1.0503024e-05   2.1088285e-03   3.9041551e-04
   5.6429085e-04   9.6577116e+01   9.6577116e+01   3.7482408e+03   3.4225876e+00   3.4225876e+00   1.0812790e-05   1.0812790e-05   2.1647619e-03   4.2329245e-04
   5.7746152e-04   9.6481793e+01   9.6481793e+01   3.7480503e+03   3.5178173e+00   3.5178173e+00   1.1128560e-05   1.1128560e-05   2.2217759e-03   4.5919609e-04
   5.9093959e-04   9.6384348e+01   9.6384348e+01   3.7478555e+03   3.6151649e+00   3.6151649e+00   1.1450417e-05   1.1450417e-05   2.2798849e-03   4.9830377e-04
   6.0473224e-04   9.6284735e+01   9.6284735e+01   3.7476564e+03   3.7146747e+00   3.7146747e+00   1.1778442e-05   1.1778442e-05   2.3391034e-03   5.4080201e-04
   6.1884682e-04   9.6182911e+01   9.6182911e+01   3.7474529e+03   3.8163922e+00   3.8163922e+00   1.2112716e-05   1.2112716e-05   2.3994456e-03   5.8688696e-04
   6.3329084e-04   9.6078828e+01   9.6078828e+01   3.7472449e+03   3.9203634e+00   3.9203634e+00   1.2453318e-05   1.2453318e-05   2.4609256e-03   6.3676488e-04
   6.4807198e-04   9.5972439e+01   9.5972439e+01   3.7470322e+03   4.0266352e+00   4.0266352e+00   1.2800326e-05   1.2800326e-05   2.5235572e-03   6.9065262e-04
   6.6319812e-04   9.5863696e+01   9.5863696e+01   3.7468148e+03   4.1352553e+00   4.1352553e+00   1.3153817e-05   1.3153817e-05   2.5873537e-03   7.4877815e-04
   6.7867731e-04   9.5752550e+01   9.5752550e+01   3.7465927e+03   4.2462724e+00   4.2462724e+00   1.3513866e-05   1.3513866e-05   2.6523285e-03   8.1138113e-04
   6.9451778e-04   9.5638953e+01   9.5638953e+01   3.7463656e+03   4.3597359e+00   4.3597359e+00   1.3880546e-05   1.3880546e-05   2.7184943e-03   8.7871342e-04
   7.1072797e-04   9.5522852e+01   9.5522852e+01   3.7461336e+03   4.4756959e+00   4.4756959e+00   1.4253928e-05   1.4253928e-05   2.7858635e-03   9.5103977e-04
   7.2731651e-04   9.5404198e+01   9.5404198e+01   3.7458964e+03   4.5942037e+00   4.5942037e+00   1.4634081e-05   1.4634081e-05   2.8544482e-03   1.0286384e-03
   7.4429223e-04   9.5282936e+01   9.5282936e+01   3.7456540e+03   4.7153112e+00   4.7153112e+00   1.5021071e-05   1.5021071e-05   2.9242598e-03   1.1118015e-03
   7.6166417e-04   9.5159015e+01   9.5159015e+01   3.7454063e+03   4.8390711e+00   4.8390711e+00   1.5414962e-05   1.5414962e-05   2.9953094e-03   1.2008363e-03
   7.7944158e-04   9.5032381e+01   9.5032381e+01   3.7451532e+03   4.9655373e+00   4.9655373e+00   1.5815813e-05   1.5815813e-05   3.0676073e-03   1.2960655e-03
   7.9763391e-04   9.4902978e+01   9.4902978e+01   3.7448945e+03   5.0947642e+00   5.0947642e+00   1.6223682e-05   1.6223682e-05   3.1411633e-03   1.3978280e-03
   8.1625085e-04   9.4770751e+01   9.4770751e+01   3.7446302e+03   5.2268073e+00   5.2268073e+00   1.6638622e-05   1.6638622e-05   3.2159865e-03   1.5064799e-03
   8.3530232e-04   9.4635642e+01   9.4635642e+01   3.7443602e+03   5.3617228e+00   5.3617228e+00   1.7060683e-05   1.7060683e-05   3.2920853e-03   1.6223952e-03
   8.5479845e-04   9.4497595e+01   9.4497595e+01   3.7440842e+03   5.4995679e+00   5.4995679e+00   1.7489910e-05   1.7489910e-05   3.3694672e-03   1.7459666e-03
   8.7474963e-04   9.4356560e+01   9.4356560e+01   3.7438023e+03   5.6403959e+00   5.6403959e+00   1.7929647e-05   1.7929647e-05   3.4480828e-03   1.8732862e-03
