	time (us)      MABM               AB           AM              BM               A              B                 ABM           M           
   6.2000000e+03   3.2812500e-01   1.5625000e-02   2.8937500e+01   3.0062500e+01   7.0718750e+01   6.9593750e+01   0.0000000e+00   3.6953438e+03
   6.3000000e+03   3.2812500e-01   1.5625000e-02   2.9359375e+01   3.0625000e+01   7.0296875e+01   6.9031250e+01   0.0000000e+00   3.6943594e+03
   6.4000000e+03   3.4375000e-01   1.5625000e-02   2.9734375e+01   3.0937500e+01   6.9906250e+01   6.8703125e+01   0.0000000e+00   3.6936406e+03
   6.5000000e+03   4.2187500e-01   1.5625000e-02   3.0156250e+01   3.1156250e+01   6.9406250e+01   6.8406250e+01   0.0000000e+00   3.6928438e+03
   6.6000000e+03   4.2187500e-01   1.5625000e-02   3.0453125e+01   3.1546875e+01   6.9109375e+01   6.8015625e+01   0.0000000e+00   3.6921562e+03
   6.7000000e+03   4.3750000e-01   1.5625000e-02   3.0765625e+01   3.1843750e+01   6.8781250e+01   6.7703125e+01   0.0000000e+00   3.6915156e+03
   6.8000000e+03   4.5312500e-01   1.5625000e-02   3.1093750e+01   3.2203125e+01   6.8437500e+01   6.7328125e+01   0.0000000e+00   3.6907969e+03
   6.9000000e+03   5.0000000e-01   1.5625000e-02   3.1578125e+01   3.2578125e+01   6.7906250e+01   6.6906250e+01   0.0000000e+00   3.6898438e+03
   7.0000000e+03   5.0000000e-01   1.5625000e-02   3.2031250e+01   3.3000000e+01   6.7453125e+01   6.6484375e+01   0.0000000e+00   3.6889688e+03
   7.1000000e+03   5.0000000e-01   1.5625000e-02   3.2468750e+01   3.3453125e+01   6.7015625e+01   6.6031250e+01   0.0000000e+00   3.6880781e+03
   7.2000000e+03   5.4687500e-01   1.5625000e-02   3.2828125e+01   3.3750000e+01   6.6609375e+01   6.5687500e+01   0.0000000e+00   3.6873281e+03
   7.3000000e+03   5.6250000e-01   1.5625000e-02   3.3156250e+01   3.4109375e+01   6.6265625e+01   6.5312500e+01   0.0000000e+00   3.6866094e+03
   7.4000000e+03   5.7812500e-01   1.5625000e-02   3.3609375e+01   3.4437500e+01   6.5796875e+01   6.4968750e+01   0.0000000e+00   3.6857969e+03
   7.5000000e+03   5.9375000e-01   1.5625000e-02   3.3906250e+01   3.4828125e+01   6.5484375e+01   6.4562500e+01   0.0000000e+00   3.6850781e+03
   7.6000000e+03   5.9375000e-01   0.0000000e+00   3.4296875e+01   3.5187500e+01   6.5093750e+01   6.4203125e+01   1.5625000e-02   3.6843125e+03
   7.7000000e+03   6.5625000e-01   0.0000000e+00   3.4609375e+01   3.5453125e+01   6.4718750e+01   6.3875000e+01   1.5625000e-02   3.6836094e+03
   7.8000000e+03   6.8750000e-01   0.0000000e+00   3.4828125e+01   3.5765625e+01   6.4484375e+01   6.3546875e+01   0.0000000e+00   3.6830312e+03
   7.9000000e+03   7.1875000e-01   0.0000000e+00   3.5187500e+01   3.6046875e+01   6.4093750e+01   6.3234375e+01   0.0000000e+00   3.6823281e+03
   8.0000000e+03   7.3437500e-01   0.0000000e+00   3.5421875e+01   3.6421875e+01   6.3843750e+01   6.2843750e+01   0.0000000e+00   3.6816875e+03
   8.1000000e+03   7.5000000e-01   0.0000000e+00   3.5750000e+01   3.6734375e+01   6.3500000e+01   6.2515625e+01   0.0000000e+00   3.6810156e+03
   8.2000000e+03   7.9687500e-01   0.0000000e+00   3.6171875e+01   3.7062500e+01   6.3031250e+01   6.2140625e+01   0.0000000e+00   3.6801719e+03
   8.3000000e+03   8.1250000e-01   0.0000000e+00   3.6453125e+01   3.7359375e+01   6.2734375e+01   6.1828125e+01   0.0000000e+00   3.6795625e+03
   8.4000000e+03   8.1250000e-01   0.0000000e+00   3.6734375e+01   3.7656250e+01   6.2453125e+01   6.1531250e+01   0.0000000e+00   3.6789844e+03
   8.5000000e+03   8.5937500e-01   0.0000000e+00   3.6968750e+01   3.7937500e+01   6.2171875e+01   6.1203125e+01   0.0000000e+00   3.6783750e+03
   8.6000000e+03   9.0625000e-01   0.0000000e+00   3.7250000e+01   3.8343750e+01   6.1843750e+01   6.0750000e+01   0.0000000e+00   3.6775938e+03
   8.7000000e+03   9.3750000e-01   0.0000000e+00   3.7578125e+01   3.8687500e+01   6.1484375e+01   6.0375000e+01   0.0000000e+00   3.6768594e+03
   8.8000000e+03   9.6875000e-01   0.0000000e+00   3.7921875e+01   3.8953125e+01   6.1109375e+01   6.0078125e+01   0.0000000e+00   3.6761875e+03
   8.9000000e+03   1.0468750e+00   0.0000000e+00   3.8187500e+01   3.9203125e+01   6.0765625e+01   5.9750000e+01   0.0000000e+00   3.6755156e+03
   9.0000000e+03   1.0937500e+00   0.0000000e+00   3.8406250e+01   3.9484375e+01   6.0500000e+01   5.9421875e+01   0.0000000e+00   3.6749219e+03
   9.1000000e+03   1.1250000e+00   0.0000000e+00   3.8640625e+01   3.9765625e+01   6.0234375e+01   5.9109375e+01   0.0000000e+00   3.6743438e+03
   9.2000000e+03   1.1562500e+00   0.0000000e+00   3.8921875e+01   4.0125000e+01   5.9921875e+01   5.8718750e+01   0.0000000e+00   3.6736406e+03
   9.3000000e+03   1.1875000e+00   0.0000000e+00   3.9109375e+01   4.0468750e+01   5.9703125e+01   5.8343750e+01   0.0000000e+00   3.6730469e+03
   9.4000000e+03   1.2500000e+00   0.0000000e+00   3.9375000e+01   4.0781250e+01   5.9375000e+01   5.7968750e+01   0.0000000e+00   3.6723438e+03
   9.5000000e+03   1.2500000e+00   0.0000000e+00   3.9843750e+01   4.1312500e+01   5.8906250e+01   5.7437500e+01   0.0000000e+00   3.6713438e+03
   9.6000000e+03   1.2656250e+00   0.0000000e+00   4.0109375e+01   4.1656250e+01   5.8625000e+01   5.7078125e+01   0.0000000e+00   3.6707031e+03
   9.7000000e+03   1.3125000e+00   0.0000000e+00   4.0406250e+01   4.2046875e+01   5.8281250e+01   5.6640625e+01   0.0000000e+00   3.6699219e+03
   9.8000000e+03   1.3437500e+00   0.0000000e+00   4.0734375e+01   4.2375000e+01   5.7921875e+01   5.6281250e+01   0.0000000e+00   3.6692031e+03
   9.9000000e+03   1.3750000e+00   0.0000000e+00   4.1046875e+01   4.2578125e+01   5.7578125e+01   5.6046875e+01   0.0000000e+00   3.6686250e+03
   1.0000000e+04   1.3750000e+00   0.0000000e+00   4.1437500e+01   4.2875000e+01   5.7187500e+01   5.5750000e+01   0.0000000e+00   3.6679375e+03
   1.0100000e+04   1.3906250e+00   0.0000000e+00   4.1734375e+01   4.3078125e+01   5.6875000e+01   5.5531250e+01   0.0000000e+00   3.6674062e+03
   1.0200000e+04   1.4375000e+00   0.0000000e+00   4.2046875e+01   4.3406250e+01   5.6515625e+01   5.5156250e+01   0.0000000e+00   3.6666719e+03
   1.0300000e+04   1.4843750e+00   0.0000000e+00   4.2328125e+01   4.3656250e+01   5.6187500e+01   5.4859375e+01   0.0000000e+00   3.6660469e+03
   1.0400000e+04   1.5156250e+00   0.0000000e+00   4.2562500e+01   4.3812500e+01   5.5921875e+01   5.4671875e+01   0.0000000e+00   3.6655938e+03
   1.0500000e+04   1.5156250e+00   0.0000000e+00   4.2953125e+01   4.4156250e+01   5.5531250e+01   5.4328125e+01   0.0000000e+00   3.6648594e+03
